uid, stage, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done
unit.000093, stage_3, 1503323729.94, 1503323731.0, 1503323731.0, 1503323731.36, 1503323731.41, 1503323731.46, 1503323731.49,1503323731.52, 1503325147.82, 1503325147.88, 1503325147.91, 1503325149.47, 1503325149.67
unit.000094, stage_3, 1503323820.16, 1503323821.62, 1503323821.62, 1503323822.01, 1503323822.07, 1503323822.1, 1503323822.13,1503323822.16, 1503325152.55, 1503325152.6, 1503325152.63, 1503325154.13, 1503325154.33
unit.000095, stage_3, 1503323820.87, 1503323821.71, 1503323821.71, 1503323822.19, 1503323822.22, 1503323822.26, 1503323822.29,1503323822.32, 1503325145.42, 1503325145.45, 1503325145.48, 1503325146.11, 1503325146.32
unit.000096, stage_4, 1503324391.63, 1503324392.91, 1503324392.91, 1503324393.28, 1503324393.33, 1503324393.37, 1503324393.4,1503324393.44, 1503326125.13, 1503326125.18, 1503326125.22, 1503326126.79, 1503326126.99
unit.000097, stage_4, 1503324399.79, 1503324400.71, 1503324400.71, 1503324401.06, 1503324401.11, 1503324401.14, 1503324401.18,1503324401.21, 1503324996.86, 1503324996.92, 1503324996.95, 1503324998.1, 1503324998.3
unit.000098, stage_4, 1503324404.27, 1503324405.32, 1503324405.32, 1503324405.78, 1503324405.82, 1503324405.85, 1503324405.89,1503324405.92, 1503325005.8, 1503325005.84, 1503325005.87, 1503325006.59, 1503325006.79
unit.000099, stage_4, 1503324408.71, 1503324409.83, 1503324409.83, 1503324410.1, 1503324410.15, 1503324410.24, 1503324410.28,1503324410.31, 1503326465.97, 1503326466.03, 1503326466.06, 1503326467.88, 1503326468.08
unit.000100, stage_4, 1503324413.13, 1503324414.44, 1503324414.44, 1503324414.82, 1503324414.87, 1503324414.91, 1503324414.94,1503324414.98, 1503325727.58, 1503325727.64, 1503325727.67, 1503325729.23, 1503325729.43
unit.000101, stage_4, 1503324417.67, 1503324418.84, 1503324418.84, 1503324419.28, 1503324419.35, 1503324419.41, 1503324419.44,1503324419.47, 1503325558.25, 1503325558.31, 1503325558.35, 1503325559.48, 1503325559.68
unit.000102, stage_4, 1503324418.39, 1503324419.15, 1503324419.15, 1503324419.55, 1503324419.6, 1503324419.63, 1503324419.66,1503324419.69, 1503328527.02, 1503328527.07, 1503328527.1, 1503328528.08, 1503328528.28
unit.000103, stage_4, 1503324422.95, 1503324423.58, 1503324423.58, 1503324424.0, 1503324424.06, 1503324424.09, 1503324424.13,1503324424.16, 1503325565.69, 1503325565.72, 1503325565.75, 1503325566.82, 1503325567.02
unit.000106, stage_4, 1503325142.89, 1503325143.61, 1503325143.61, 1503325144.03, 1503325144.09, 1503325144.12, 1503325144.15,1503325144.19, 1503341978.79, 1503341978.85, 1503341978.88, 1503341980.45, 1503341980.65
unit.000107, stage_4, 1503325147.88, 1503325149.02, 1503325149.02, 1503325149.49, 1503325149.52, 1503325149.59, 1503325149.63,1503325149.66, 1503334779.92, 1503334779.97, 1503334780.01, 1503334781.2, 1503334781.4
unit.000108, stage_4, 1503325152.43, 1503325153.73, 1503325153.73, 1503325154.18, 1503325154.22, 1503325154.25, 1503325154.28,1503325154.31, 1503335766.43, 1503335766.48, 1503335766.52, 1503335767.53, 1503335767.73
unit.000109, stage_4, 1503325156.99, 1503325158.23, 1503325158.23, 1503325158.64, 1503325158.7, 1503325158.73, 1503325158.76,1503325158.79, 1503327088.31, 1503327088.36, 1503327088.39, 1503327090.01, 1503327090.22
unit.000110, stage_4, 1503325165.61, 1503325166.14, 1503325166.14, 1503325166.61, 1503325166.66, 1503325166.69, 1503325166.72,1503325166.76, 1503353418.96, 1503353419.02, 1503353419.05, 1503353420.81, 1503353421.01
unit.000111, stage_4, 1503325170.24, 1503325170.86, 1503325170.86, 1503325171.31, 1503325171.36, 1503325171.4, 1503325171.43,1503325171.46, 1503326476.81, 1503326476.84, 1503326476.88, 1503326477.85, 1503326478.06
unit.000115, stage_4, 1503325901.84, 1503325902.97, 1503325902.97, 1503325903.39, 1503325903.44, 1503325903.48, 1503325903.51,1503325903.54, 1503334650.48, 1503334650.53, 1503334650.57, 1503334652.1, 1503334652.3
unit.000116, stage_4, 1503325910.7, 1503325912.09, 1503325912.09, 1503325912.53, 1503325912.58, 1503325912.62, 1503325912.65,1503325912.68, 1503327436.08, 1503327436.14, 1503327436.17, 1503327437.68, 1503327437.88
unit.000117, stage_4, 1503325919.85, 1503325920.92, 1503325920.92, 1503325921.26, 1503325921.32, 1503325921.35, 1503325921.38,1503325921.42, 1503335595.84, 1503335595.88, 1503335595.91, 1503335596.39, 1503335596.6
unit.000119, stage_4, 1503326308.33, 1503326309.33, 1503326309.33, 1503326309.7, 1503326309.75, 1503326309.78, 1503326309.82,1503326309.85, 1503337474.68, 1503337474.73, 1503337474.77, 1503337475.99, 1503337476.18
unit.000122, stage_4, 1503326881.82, 1503326883.0, 1503326883.0, 1503326883.42, 1503326883.48, 1503326883.51, 1503326883.54,1503326883.58, 1503332373.8, 1503332373.83, 1503332373.87, 1503332374.67, 1503332374.87
